admin_dong_norm,industry_code,industry_name_ko,industry_name_en,establishments,workers
방화2동,A,"농업, 임업 및 어업","Agriculture, forestry and fishing",0,0
방화2동,C,제조업,Manufacturing,79,197
방화2동,D,"전기, 가스, 증기 및 공기조절 공급업","Electricity, gas, steam and air conditioning supply",3,6
방화2동,E,"수도, 하수 및 폐기물 처리, 원료 재생업","Water supply; sewage, waste management, materials recovery",7,121
방화2동,F,건설업,Construction,139,728
방화2동,G,도매 및 소매업,Wholesale and retail trade,835,2314
방화2동,H,운수 및 창고업,Transportation and storage,1424,5230
방화2동,I,숙박 및 음식점업,Accommodation and food service activities,313,1505
방화2동,J,정보통신업,Information and communication,51,94
방화2동,K,금융 및 보험업,Financial and insurance activities,7,37
방화2동,L,부동산업,Real estate activities,131,265
방화2동,M,"전문, 과학 및 기술 서비스업","Professional, scientific and technical activities",63,158
방화2동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",Business facilities management and business support services; rental and leasing activities,49,323
방화2동,O,"공공행정, 국방 및 사회보장 행정",Public administration and defence; compulsory social security,7,257
방화2동,P,교육 서비스업,Education,54,283
방화2동,Q,보건업 및 사회복지 서비스업,Human health and social work activities,56,671
방화2동,R,"예술, 스포츠 및 여가관련 서비스업","Arts, sports and recreation related services",64,135
방화2동,S,"협회 및 단체, 수리 및 기타 개인 서비스업","Membership organizations, repair and other personal services",228,388
방화2동,,전 산업,Total,3510,12712
방화2동,A,"농업, 임업 및 어업","Agriculture, forestry and fishing",0,0
방화2동,01,농업,Agriculture,0,0
방화2동,011,작물 재배업,Growing of crops,0,0
방화2동,0111,곡물 및 기타 식량작물 재배업,Growing of cereal crops and other crops for food,0,0
방화2동,01110,곡물 및 기타 식량작물 재배업,Growing of cereal crops and other crops for food,0,0
