shortlist_basis,shortlist_program_component_score,candidate_store_id,source_store_id,store_name,brand,admin_dong,road_address,jibun_address,longitude,latitude,recommended_public_facility_program,recommended_program_score,component_young_worker,component_health_dolbom,component_airport_mobility_support,component_general_life_admin,store_context_exploration_score,nearest_subway_station_name,nearest_subway_station_distance_m,subway_station_count_500m,subway_station_count_800m,nearest_medical_name,nearest_medical_distance_m,medical_count_500m,medical_count_800m,other_convenience_count_250m,other_convenience_count_500m,nearest_other_convenience_distance_m,nearest_magok_business_axis_name,nearest_magok_business_axis_distance_m,nearest_gimpo_airport_axis_name,nearest_gimpo_airport_axis_distance_m,resident_population,households,share_20_39_pct,share_60_plus_pct,share_20_39_pct_2030_projection,share_60_plus_pct_2030_projection,inbound_to_candidate,outbound_from_candidate,candidate_internal_or_between,evidence_summary,overall_program_rank
생활민원·커뮤니티 거점형 공공시설,0.7469378262139115,GS_CONV_0398,MA0101202406A0391103,세븐일레븐S,세븐일레븐,가양1동,서울특별시 강서구 공항대로 267,서울특별시 강서구 마곡동 727-1496,126.837305567326,37.5590285388509,청년·직장인 생활지원형 공공시설,0.9261413809052637,0.9261413809052637,0.37034572281053657,0.7711741549218764,0.7469378262139115,0.7000653730676597,발산(5호선),57.6,1,1,바른마음한의원마곡발산점,43.8,136,176,20,43,65.3,발산(5호선),57.6,김포공항(서해선),2942.0,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 57.6m, 500m 병의원 136개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",1
생활민원·커뮤니티 거점형 공공시설,0.7452875546849357,GS_CONV_0176,MA010120220803070773,지에스25발산파크점,GS25,가양1동,서울특별시 강서구 공항대로 261,서울특별시 강서구 마곡동 797-4,126.836513043521,37.5591535835773,청년·직장인 생활지원형 공공시설,0.9201466080247442,0.9201466080247442,0.36238453431531986,0.7680067073692822,0.7452875546849357,0.69376994366619,발산(5호선),119.1,1,1,휴먼피부과의원,0.7,133,171,19,44,61.3,발산(5호선),119.1,김포공항(서해선),2871.1,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 119.1m, 500m 병의원 133개, 500m 내 편의점 44개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",2
생활민원·커뮤니티 거점형 공공시설,0.7389859748027257,GS_CONV_0156,MA010120220806579959,GS25마곡파크뷰점,GS25,가양1동,서울특별시 강서구 마곡중앙6로 85,서울특별시 강서구 마곡동 795-5,126.836884155961,37.5602443020844,청년·직장인 생활지원형 공공시설,0.909849201329806,0.909849201329806,0.3534916827369957,0.755344714435338,0.7389859748027257,0.6847708611746586,발산(5호선),195.7,1,1,리네아의원,72.7,130,174,16,44,36.8,발산(5호선),195.7,김포공항(서해선),2894.3,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 195.7m, 500m 병의원 130개, 500m 내 편의점 44개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",6
생활민원·커뮤니티 거점형 공공시설,0.7384858260779346,GS_CONV_0241,MA010120220800057342,지에스25마곡,GS25,가양1동,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,126.837247704328,37.5596141065745,청년·직장인 생활지원형 공공시설,0.9156280396586498,0.9156280396586498,0.36100798533481654,0.7603292120289444,0.7384858260779346,0.688593522080245,발산(5호선),118.9,1,1,생명마루한의원,0.4,132,175,18,42,62.2,발산(5호선),118.9,김포공항(서해선),2931.0,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 118.9m, 500m 병의원 132개, 500m 내 편의점 42개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",3
생활민원·커뮤니티 거점형 공공시설,0.7373702839123316,GS_CONV_0277,MA010120220810209522,GS25마곡루체점,GS25,가양1동,서울특별시 강서구 마곡동로4길 23,서울특별시 강서구 마곡동 797-12,126.836206376803,37.5596487063899,청년·직장인 생활지원형 공공시설,0.9105070676073354,0.9105070676073354,0.35483673275101835,0.7592355317728742,0.7373702839123316,0.6836359158066699,발산(5호선),173.9,1,1,연세유앤아이치과의원,0.9,130,168,17,43,61.3,발산(5호선),173.9,김포공항(서해선),2839.2,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 173.9m, 500m 병의원 130개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",4
청년·직장인 생활지원형 공공시설,0.9261413809052637,GS_CONV_0398,MA0101202406A0391103,세븐일레븐S,세븐일레븐,가양1동,서울특별시 강서구 공항대로 267,서울특별시 강서구 마곡동 727-1496,126.837305567326,37.5590285388509,청년·직장인 생활지원형 공공시설,0.9261413809052637,0.9261413809052637,0.37034572281053657,0.7711741549218764,0.7469378262139115,0.7000653730676597,발산(5호선),57.6,1,1,바른마음한의원마곡발산점,43.8,136,176,20,43,65.3,발산(5호선),57.6,김포공항(서해선),2942.0,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 57.6m, 500m 병의원 136개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",1
청년·직장인 생활지원형 공공시설,0.9201466080247442,GS_CONV_0176,MA010120220803070773,지에스25발산파크점,GS25,가양1동,서울특별시 강서구 공항대로 261,서울특별시 강서구 마곡동 797-4,126.836513043521,37.5591535835773,청년·직장인 생활지원형 공공시설,0.9201466080247442,0.9201466080247442,0.36238453431531986,0.7680067073692822,0.7452875546849357,0.69376994366619,발산(5호선),119.1,1,1,휴먼피부과의원,0.7,133,171,19,44,61.3,발산(5호선),119.1,김포공항(서해선),2871.1,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 119.1m, 500m 병의원 133개, 500m 내 편의점 44개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",2
청년·직장인 생활지원형 공공시설,0.9156280396586498,GS_CONV_0241,MA010120220800057342,지에스25마곡,GS25,가양1동,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,126.837247704328,37.5596141065745,청년·직장인 생활지원형 공공시설,0.9156280396586498,0.9156280396586498,0.36100798533481654,0.7603292120289444,0.7384858260779346,0.688593522080245,발산(5호선),118.9,1,1,생명마루한의원,0.4,132,175,18,42,62.2,발산(5호선),118.9,김포공항(서해선),2931.0,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 118.9m, 500m 병의원 132개, 500m 내 편의점 42개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",3
청년·직장인 생활지원형 공공시설,0.9105070676073354,GS_CONV_0277,MA010120220810209522,GS25마곡루체점,GS25,가양1동,서울특별시 강서구 마곡동로4길 23,서울특별시 강서구 마곡동 797-12,126.836206376803,37.5596487063899,청년·직장인 생활지원형 공공시설,0.9105070676073354,0.9105070676073354,0.35483673275101835,0.7592355317728742,0.7373702839123316,0.6836359158066699,발산(5호선),173.9,1,1,연세유앤아이치과의원,0.9,130,168,17,43,61.3,발산(5호선),173.9,김포공항(서해선),2839.2,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 173.9m, 500m 병의원 130개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",4
청년·직장인 생활지원형 공공시설,0.9099290147510921,GS_CONV_0391,MA0101202406A0306222,이마트24마곡골든점,이마트24,가양1동,서울특별시 강서구 마곡중앙6로 89,서울특별시 강서구 마곡동 795-6,126.837291761266,37.5601727848312,청년·직장인 생활지원형 공공시설,0.9099290147510921,0.9099290147510921,0.3545714247207295,0.7537688135080658,0.7370165398719465,0.6845211856112802,발산(5호선),178.2,1,1,리네아의원,36.0,130,175,18,43,36.8,발산(5호선),178.2,김포공항(서해선),2930.6,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 178.2m, 500m 병의원 130개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",5
