candidate_store_id,source_store_id,store_name,brand,sido,sigungu,admin_dong,legal_dong,road_address,jibun_address,address,longitude,latitude,biz_l1,biz_l2,biz_l3,ksic_name
GS_CONV_0507,MA0106202508A1936116,씨유(CU) 가양휴먼빌점,CU,서울특별시,강서구,가양2동,가양동,서울특별시 강서구 양천로57길 9-13,서울특별시 강서구 가양동 1479-9,서울특별시 강서구 양천로57길 9-13,126.851206140603,37.5635969047086,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0508,MA0106202508A0441504,GS25나눔등촌,GS25,서울특별시,강서구,등촌1동,등촌동,서울특별시 강서구 공항대로45길 63,서울특별시 강서구 등촌동 639-23,서울특별시 강서구 공항대로45길 63,126.856004925559,37.5578635098832,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0509,MA0106202507A2148164,이마트24 SMART서울식물원점,이마트24,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,서울특별시 강서구 마곡동로 161,126.832918684238,37.572240010396,소매,종합 소매,편의점,한식 일반 음식점업
GS_CONV_0510,MA0106202201A1935308,GS25화곡초교점,GS25,서울특별시,강서구,화곡본동,화곡동,서울특별시 강서구 초록마을로6길 1,서울특별시 강서구 화곡동 53-14,서울특별시 강서구 초록마을로6길 1,126.847355352883,37.5426167746136,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0511,MA0106202201A2210492,GS25화곡들판점,GS25,서울특별시,강서구,화곡2동,화곡동,서울특별시 강서구 곰달래로 205,서울특별시 강서구 화곡동 862-11,서울특별시 강서구 곰달래로 205,126.855806653376,37.5315360903445,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0512,MA0106202508A2344024,GS25 강서퍼스트,GS25,서울특별시,강서구,발산1동,마곡동,서울특별시 강서구 마곡중앙2로 35,서울특별시 강서구 마곡동 800-15,서울특별시 강서구 마곡중앙2로 35,126.830539831661,37.5579918864136,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0513,MA0106202201A1035170,CU염창JK블라썸호텔점,CU,서울특별시,강서구,염창동,염창동,서울특별시 강서구 양천로65길 41-22,서울특별시 강서구 염창동 20-85,서울특별시 강서구 양천로65길 41-22,126.867777228084,37.5567870741781,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0514,MA0106202201A1055227,이마트24self대영가스충전소점,이마트24,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 양천로 242,서울특별시 강서구 마곡동 761-2,서울특별시 강서구 양천로 242,126.830982953018,37.572255274776,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0515,MA0106202506A0706481,씨유(CU) 강서지식산업센터덤,CU,서울특별시,강서구,가양1동,가양동,서울특별시 강서구 양천로 401,서울특별시 강서구 가양동 1498,서울특별시 강서구 양천로 401,126.847647828913,37.5657006958558,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0516,MA0106202601A2427501,GS25 마곡W타워,GS25,서울특별시,강서구,방화1동,마곡동,서울특별시 강서구 방화대로 294,서울특별시 강서구 마곡동 739-1,서울특별시 강서구 방화대로 294,126.817049734702,37.5669997276526,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0517,MA0106202601A1419443,GS25 강서송정역,GS25,서울특별시,강서구,공항동,공항동,서울특별시 강서구 공항대로 34,서울특별시 강서구 공항동 42-22,서울특별시 강서구 공항대로 34,126.810952580705,37.561007514565,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0518,MA0106202512A0436931,이마트24마곡클라우드힐스점,이마트24,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡중앙8로1길 81,서울특별시 강서구 마곡동 779-1,서울특별시 강서구 마곡중앙8로1길 81,126.837568169793,37.56839925301,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0519,MA0106202601A1048036,씨유(CU)대한항공씨앤디김포점,CU,서울특별시,강서구,공항동,공항동,서울특별시 강서구 하늘길 251,서울특별시 강서구 공항동 1373-5,서울특별시 강서구 하늘길 251,126.814721721835,37.5517872876769,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0520,MA0106202601A1206126,이마트24 강서별하점,이마트24,서울특별시,강서구,등촌1동,등촌동,서울특별시 강서구 화곡로66길 76,서울특별시 강서구 등촌동 641-3,서울특별시 강서구 화곡로66길 76,126.857422020045,37.5566128442956,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0521,MA0106202601A1000756,이마트24 SMARTSK 대영충전소점,이마트24,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 양천로 242,서울특별시 강서구 마곡동 761-2,서울특별시 강서구 양천로 242,126.830982953018,37.572255274776,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0522,MA0106202508A2150746,씨유(CU)강서마곡점,CU,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 양천로47나길 7,서울특별시 강서구 마곡동 14-6,서울특별시 강서구 양천로47나길 7,126.838365119348,37.5715087778268,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0523,MA0106202510A0776496,GS25화곡우정점,GS25,서울특별시,강서구,화곡본동,화곡동,서울특별시 강서구 초록마을로22길 24,서울특별시 강서구 화곡동 56-501,서울특별시 강서구 초록마을로22길 24,126.85015608834,37.5397011249291,소매,종합 소매,편의점,슈퍼마켓
GS_CONV_0524,MA0106202510A0325213,씨유염창트리,CU,서울특별시,강서구,염창동,염창동,서울특별시 강서구 양천로 738,서울특별시 강서구 염창동 261-4,서울특별시 강서구 양천로 738,126.877693346895,37.5486617547582,소매,종합 소매,편의점,슈퍼마켓
